0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,0,0,0,0,0,0,0,0,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,0,0,0,0
0,0,0,0,0,0,0,0,0,5,-11,0,0,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,x,-11,1,-7,x,-11,0,-7,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,0,0
0,0,5,-11,0,0,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,x,-11,1,-7,x,-11,1,-7,9,-11,1,x,9,-11,1,x,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,0
-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,x,-11,1,-7,x,-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9
5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,x,-11,1,-7,x,-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-3,9,-11,1,-3,9,-11,1,x,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3
-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,x,-11,1,-7,x,-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-3,9,-11,1,-3,9,-11,1,-7,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1
1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,x,-11,1,-7,x,-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-3,9,-11,1,x,9,-11,1,-7,9,-11,1,-3,9,-11,1,-3,9,-11,1,x,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11
-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,x,-11,1,-7,x,-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-3,9,-11,1,-7,9,-11,1,-7,9,-11,1,-3,9,-11,1,-3,9,-11,1,-7,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9
5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,x,-11,1,-7,x,-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,x,9,-11,1,-7,9,-11,1,-7,9,-11,1,-3,9,-11,1,x,9,-11,1,-7,9,-11,1,-3,9,-11,1,-3,9,-11,1,x,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3
-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,x,-11,1,-7,x,-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-3,9,-11,1,-7,9,-11,1,-7,9,-11,1,-3,9,-11,1,-3,9,-11,1,-7,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1
1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,x,-11,1,-7,x,-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,x,9,-11,1,-7,9,-11,1,-7,9,-11,1,-3,9,-11,1,x,9,-11,1,-7,9,-11,1,-3,9,-11,1,-3,9,-11,1,x,9,-11,1,-3,9,-11
