9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,0,0,0,0,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7
-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,x,-11,1,-3,x,-11,1,x,x,-11,1,x,x,-11,1,x,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1
1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,x,-11,1,-3,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11
-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,x,-11,1,-3,x,-11,1,x,x,-11,1,x,x,-11,1,x,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5
9,-11,1,-3,9,-11,1,-3,0,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,x,-11,1,-3,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7
-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,5,-11,1,-3,x,-11,1,x,x,-11,1,x,x,-11,1,x,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1
1,-3,9,-11,1,-3,5,-11,1,-3,9,-11,1,-3,9,-11,1,-3,9,-11,1,-3,x,-11,1,-3,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11
-11,1,-3,9,-11,1,-3,9,-11,1,-3,x,-11,1,-3,5,-11,1,-3,x,-11,1,x,x,-11,1,x,x,-11,1,x,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5
0,-11,1,-3,5,-11,1,-3,0,-11,1,-3,9,-11,1,-3,9,-11,1,-3,5,-11,1,-3,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7
-3,9,-11,1,-3,9,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,x,x,-11,1,x,x,-11,1,x,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1
1,-3,5,-11,1,-3,5,-11,1,-3,9,-11,1,-3,x,-11,1,-3,5,-11,1,-3,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11
-11,1,-3,0,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,x,x,-11,1,x,5,-11,1,x,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5
5,-11,1,-3,5,-11,1,-3,0,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7
-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,x,5,-11,1,x,5,-11,1,x,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1
