0,0,5,0,0,0,5,0,1,-3,1,-3,0,0,0,0,0,0,0,0
0,0,0,5,0,1,-3,x,-3,1,0,x,-3,0,-3,0,0,0,0,0
5,0,1,-3,0,-3,1,0,5,-3,1,-3,0,-3,0,0,0,0,0,0
-3,0,-3,1,0,5,-3,1,-3,0,-3,1,0,5,-3,0,-3,0,0,0
0,0,5,-3,1,-3,0,-3,1,0,5,-3,1,-3,0,-3,0,0,5,0
-3,1,-3,0,-3,1,0,5,-3,1,-3,0,-3,1,0,5,-3,0,-3,0
0,-3,1,0,5,-3,1,-3,0,-3,1,0,5,-3,1,-3,0,-3,0,0
0,5,-3,1,-3,0,-3,1,0,5,-3,1,-3,0,-3,1,0,5,-3,0
1,-3,0,-3,1,0,5,-3,1,-3,0,-3,1,0,5,-3,1,-3,0,-3
-3,1,0,5,-3,1,-3,0,-3,1,0,5,-3,1,-3,0,-3,1,0,5
5,-3,1,-3,0,-3,1,0,5,-3,1,-3,0,-3,1,0,5,-3,1,-3
-3,0,-3,1,0,5,-3,1,-3,0,-3,1,0,5,-3,1,-3,0,-3,1
