9,-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-7,0,0,0,0,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,0,0,0
-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-7,x,-11,1,-7,x,-11,1,-7,x,-11,1,x,x,-11,1,x,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,0
1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-7,x,-11,1,-7,5,-11,1,-7,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5
-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-7,x,-11,1,-7,x,-11,1,-7,x,-11,1,-7,x,-11,1,x,5,-11,1,x,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3
9,-11,1,-7,9,-11,1,-7,0,-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-7,x,-11,1,-7,5,-11,1,-7,5,-11,1,0,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1
-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-7,5,-11,1,-7,x,-11,1,-7,x,-11,1,-7,x,-11,1,-7,5,-11,1,x,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11
1,-7,9,-11,1,-7,5,-11,1,-7,9,-11,1,-7,9,-11,1,-7,9,-11,1,-7,x,-11,1,-7,5,-11,1,-7,5,-11,1,0,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5
-11,1,-7,9,-11,1,-7,9,-11,1,-7,x,-11,1,-7,5,-11,1,-7,x,-11,1,-7,x,-11,1,-7,x,-11,1,-7,5,-11,1,x,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3
0,-11,1,-7,5,-11,1,-7,0,-11,1,-7,9,-11,1,-7,9,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,0,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1
-7,9,-11,1,-7,9,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,x,-11,1,-7,x,-11,1,-7,5,-11,1,x,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11
1,-7,5,-11,1,-7,5,-11,1,-7,9,-11,1,-7,x,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5
-11,1,-7,0,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,x,-11,1,-7,5,-11,1,-7,5,-11,1,x,5,-11,1,x,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3
5,-11,1,-7,5,-11,1,-7,0,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,0,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1
-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,x,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11
1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,x,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5
-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,x,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3
5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,-7,5,-11,1,x,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1,-3,5,-11,1
