0,1,-1,0,0,-1,0,0,-1,0,0,0,1,0,0,1,0,-1,0,0,0,-1,1,1,-1,1,1,1,1,1,0,0,1,-1,1,0,0,-1,-1,0,1,1,-1,0,1,1,1,1,0,-1,-1,-1,0,0,0,-1,0,0,1,-1,0,-1,1,0,-1,0,0,-1,1,0,0,-1,1,-1,1,-1,-1,1,1,0,-1,1,1
1,-1,1,-1,-1,0,0,-1,0,0,0,0,0,1,0,0,-2,0,0,0,-1,0,1,X,1,-1,1,1,1,1,1,1,-1,1,-1,1,-1,-1,0,0,1,X,1,-1,0,1,1,1,-2,-1,-1,0,0,0,-1,0,0,1,-1,1,-1,0,0,-2,0,0,-1,0,0,1,-1,1,-1,1,-1,X,-1,0,1,-2,0,0,1
-1,1,-1,X,-1,0,-1,0,0,0,0,0,0,0,-3,0,0,0,0,-1,0,0,0,1,-1,1,-1,1,1,1,1,X,1,-1,1,-1,X,-1,0,0,0,1,-1,1,-1,1,X,X,X,X,-1,0,0,-1,0,0,1,-1,1,-1,1,3,0,0,0,-1,0,0,1,-1,1,-1,1,-1,1,-1,1,-2,0,1,0,0,0
1,-1,1,-1,0,-1,0,0,0,0,0,-3,0,0,0,0,0,0,-1,0,0,0,1,-1,1,-1,1,-1,1,1,1,1,-1,1,-1,1,-1,0,0,0,1,-1,1,-1,1,-1,1,0,0,-1,0,0,-1,0,0,1,-1,1,-1,1,-1,1,0,1,-4,0,0,1,-1,1,-1,1,-1,1,X,X,X,1,-2,0,1,0,0
-1,1,-1,1,-1,0,0,0,-3,0,0,0,0,0,0,0,0,-1,0,0,0,1,-1,1,-1,1,-1,1,-1,1,1,X,1,-1,1,-1,1,-1,0,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,-1,0,0,1,-1,1,-1,1,X,X,-1,1,-4,1,-4,1,-1,1,-1,1,-1,1,-1,1,1,-2,0,1,0,0,1,0
1,-1,1,-1,1,4,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-2,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,0,0,1,-1,1,-1,1,X,-3,-3,-4,1,1,-4,1,X,1,-1,1,-1,1,-1,1,X,1,1,-2,0,1,0,0,1
-1,1,-1,1,-1,1,0,0,1,4,0,0,0,0,0,-1,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,X,X,1,-1,1,X,X,X,X,X,-1,1,-1,1,-1,1,-1,1,-1,X,-1,0,1,-1,1,-1,X,X,-2,X,X,X,-4,1,1,0,1,-1,1,-1,1,-1,1,-1,1,-2,1,1,-2,0,1,0,0
1,-1,1,-1,1,-1,1,0,0,1,0,0,1,4,-1,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,0,0,0,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,1,-1,1,-1,1,3,0,-4,0,-4,0,0,0,1,1,-1,1,-1,1,-1,1,X,X,X,1,-2,1,1,-2,0,1,0
-1,1,-1,1,-1,1,-1,1,0,0,1,0,0,X,0,-1,1,-4,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,X,X,1,-1,1,-1,1,0,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-2,-1,1,-1,X,-1,-4,-4,0,3,0,0,0,-4,1,X,1,-1,1,-1,1,-1,1,1,-2,0,1,-2,1,1,-2,0,1
1,-1,1,-1,1,-1,1,-1,1,0,0,1,1,-4,-1,0,0,X,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,-2,1,-1,1,-1,1,-1,1,-1,1,X,X,X,X,X,X,X,-1,0,-4,-4,0,-4,0,0,3,0,-4,1,X,1,-1,1,-1,1,X,1,1,-2,0,1,-2,1,1,-2,0
