1,0,1,0,1,1,1,0,1,1,0,0,0,-1,1,0,0,0,0,1,0,0,-1,0,1,-1,1,1,0,1,-1,-1,0,0,0,0,0,-1,-1,1,-1,0,-1,0,-1,-1,0,-1,0,0,-1,0,0,-1,-1,1,-1,-1,1,-1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,-1,0,-1,0,1
0,1,0,1,0,1,1,1,0,1,1,0,-1,0,0,1,0,0,0,0,1,-1,0,1,-1,1,-1,1,1,-1,x,-1,0,0,0,0,-1,-1,1,-1,1,-1,0,-1,-1,0,-1,0,0,-1,0,0,-1,-1,1,-1,x,x,-1,1,-1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,-1,0,-1,0,0,0
0,0,1,0,1,0,1,1,1,0,1,-2,0,0,0,0,1,0,0,1,-1,1,-2,-1,1,-1,1,x,x,1,-1,0,0,0,0,-1,-1,1,-1,1,-1,1,-1,-1,0,-1,0,0,-1,0,0,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,x,1,-1,0,0,0,0
0,0,0,1,0,1,0,1,1,2,0,1,0,0,0,0,0,1,1,x,x,x,x,x,-1,1,-1,1,1,-1,1,-1,0,0,-1,-1,1,-1,1,-1,1,-1,x,-1,-1,0,0,-1,0,0,-1,-1,1,-1,1,-1,x,x,-1,1,-1,1,-1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,-1,1,-1,0,0,0
0,0,0,0,1,0,1,0,1,1,2,2,1,0,0,0,0,0,1,1,0,0,0,-1,1,-1,1,x,x,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,0,0,-1,0,0,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,0,1,0,0,0,1,0,1,0,0,0,1,-1,1,-1,1,-1,0,0
0,0,0,0,0,1,0,1,0,1,1,x,2,6,0,0,0,0,0,1,1,0,-1,1,-1,1,-1,1,1,-1,1,-1,x,-1,1,-1,1,-1,1,-1,1,-1,x,-1,0,-1,0,0,-1,-1,1,-1,1,-1,1,-1,x,x,-1,1,-1,1,-1,1,-1,0,1,0,0,0,1,0,1,0,1,-1,1,-1,1,-1,1,-1,0
0,0,0,0,0,0,1,0,1,0,1,1,0,0,6,0,0,0,0,6,1,-2,1,-1,1,-1,1,x,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,-1,0,0,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,0,1,0,0,0,1,0,1,-1,1,-1,1,-1,1,-1,1,-1
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,6,0,0,5,-2,x,1,-1,1,-1,x,-1,3,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,-1,-1,1,-1,1,-1,1,-1,1,-1,x,x,-1,1,-1,1,-1,1,-1,1,-1,0,1,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1
0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,3,-2,0,5,1,x,1,x,1,-1,0,1,x,1,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,1,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,-2,0,0,0,3,5,2,0,1,x,1,-1,0,1,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,x,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
