0,0,0,0,-1,1,-1,0,1,-1,1,0,-1,1,1,0,0,-1,0,0,0,1,0,-1,1,0,0,0,0,-1,-1,-1,-1,0,0,1,-1,-1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-1,1,-1,1,-1,1,1,1,0,0,0,1,1,1,0,0,1,-1,0,0,0,0,0,0,1,-1,0,-1
0,0,0,-1,1,-1,1,-2,-1,1,-1,-2,0,0,1,1,-1,0,0,0,0,0,-2,0,0,1,0,0,-1,-1,-1,-1,0,0,1,-1,x,-1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-2,1,-1,1,-1,1,-1,1,1,1,0,0,0,1,1,1,1,-1,1,-1,0,0,0,0,1,-1,1,-1,0
0,0,-1,1,x,x,x,x,x,x,1,-1,-2,0,1,x,1,-1,0,0,-2,0,0,0,0,0,1,-1,-1,-1,-1,0,0,1,-1,1,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,-2,1,1,-1,1,-1,1,-1,1,-1,1,1,1,0,0,0,1,1,x,1,-1,1,-1,0,0,1,-1,1,-1,1,-1
0,-1,0,0,1,0,0,0,0,7,x,1,-1,-2,0,1,-1,1,3,0,0,0,0,0,0,1,-1,x,-1,-1,0,0,1,-1,1,-1,1,-1,0,0,0,1,0,0,1,0,0,0,0,0,-2,1,0,x,x,1,-1,1,-1,1,-1,1,-1,1,1,1,0,0,0,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
-1,0,0,0,0,1,0,0,7,0,2,x,1,-1,-2,-1,x,-1,1,0,1,3,0,0,1,-1,1,-1,-1,0,0,1,-1,1,-1,1,-1,1,-1,0,0,0,1,0,0,1,0,0,-2,0,0,0,1,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,1,0,0,1,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
0,0,0,0,0,0,1,7,0,0,0,2,x,x,-1,x,-1,0,0,1,0,1,3,1,x,1,-1,x,-1,0,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,1,0,0,-3,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,1,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
0,0,0,0,0,0,7,1,7,0,0,0,0,-3,7,-1,0,0,0,0,1,0,1,3,1,x,1,-1,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,-3,1,0,0,-3,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
0,0,0,7,0,0,0,7,1,7,-3,0,0,7,x,7,-1,0,0,0,0,2,-1,1,3,1,x,1,-2,-1,1,-1,1,-1,1,-1,1,-1,1,-1,x,-1,-3,0,-3,1,0,0,-3,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
7,0,0,0,0,0,7,-3,7,1,7,0,0,0,7,x,7,-5,0,0,-5,-1,x,x,x,x,2,x,x,1,-1,1,-1,1,-1,1,-1,1,-1,x,-1,-3,0,-3,0,-3,1,0,0,-3,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
0,0,0,0,-3,7,0,7,0,0,1,0,-5,7,0,2,x,7,0,0,-1,7,0,7,0,0,0,0,3,-1,1,-1,1,-1,1,-1,1,-1,x,-1,-3,0,-3,0,0,0,-3,1,0,1,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
7,-3,0,0,0,0,0,-5,7,0,0,1,7,0,7,0,0,2,0,-3,7,0,2,0,7,0,0,3,x,1,x,x,-1,1,-1,1,-1,x,-1,-3,0,-3,0,-3,0,0,0,0,1,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
0,0,-5,0,0,0,0,7,0,7,0,0,1,0,2,7,-3,0,1,x,0,7,0,2,2,0,0,7,0,2,-3,-3,1,-1,1,-1,x,-1,-3,0,-3,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
0,0,0,0,0,0,7,0,0,7,0,2,0,2,7,0,x,0,0,1,0,0,7,0,0,2,2,-3,2,x,0,x,x,1,x,x,-1,-3,0,-3,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
0,0,0,0,0,0,0,0,7,0,0,0,0,x,0,2,7,0,0,0,1,7,2,0,-3,0,0,2,2,7,2,0,2,0,-3,-1,-3,0,-3,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,2,0,2,0,x,1,7,2,0,7,1,7,2,2,-3,x,-3,x,-3,7,2,0,2,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,7,0,2,0,2,7,x,1,7,2,0,x,1,x,2,2,7,1,x,2,0,-3,2,0,2,0,7,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,7,0,2,0,2,7,1,1,7,2,7,1,1,7,2,2,2,0,0,2,2,2,2,7,2,1,-1,1,-1,x,-1,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,7,7,0,2,2,x,x,1,1,x,2,x,1,1,7,2,3,2,1,x,2,x,2,x,x,x,x,x,-1,7,2,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,7,7,0,2,3,7,x,1,0,2,2,1,1,1,0,2,0,2,1,7,2,0,2,0,0,-1,7,2,1,x,x,x,1,-1,x,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,7,0,x,7,x,2,0,2,x,x,1,1,0,0,x,0,x,1,0,2,0,-3,x,7,0,0,4,0,1,-1,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,7,0,x,0,2,7,1,1,0,0,0,2,0,2,0,0,2,0,0,0,0,0,1,-1,1,2,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
