0,1,0,0,0,0,0,0,0,1,0,0,0,-1,0,1,0,1,0,-1,0,0,0,0,0,-1,-1,0,0,1,1,1,1,0,-1,-1,-1,0,0,1,0,-1,0,0,1,1,-1,0,-1,0,1,-1,1,-1,0,-1,0,-1,-1,0,0,1,-1,1,-1,-1,0,0,0,1,0,1,0,0,0,1,1,1,-1,1,-1,0,1
0,0,1,0,0,0,0,0,0,0,1,0,-1,0,0,0,1,0,-2,0,0,0,0,0,-1,-1,0,0,0,0,1,1,1,-2,-1,-1,0,0,0,0,-2,0,0,0,1,x,1,-1,0,1,-1,1,-1,1,-1,0,-1,-1,0,0,1,-1,1,-1,x,-1,0,0,0,0,1,0,1,0,0,0,1,x,1,-1,1,-1,0
0,0,0,1,0,0,0,0,0,0,0,-2,0,0,0,0,-2,1,0,-2,0,0,0,-1,-1,0,0,0,0,0,1,x,x,x,x,-1,0,0,-2,0,0,0,0,0,0,1,-1,1,-2,-1,1,-1,1,-1,1,-1,-1,0,0,1,-1,1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0,1,-1,1,-1,1,-1
0,0,0,0,1,0,0,0,0,-2,0,0,0,0,-2,0,0,-2,1,0,-2,0,-1,-1,0,0,0,0,0,0,0,1,0,0,-1,0,-2,0,0,0,0,0,0,0,1,x,x,x,x,x,-1,1,-1,1,-1,x,-1,0,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,1,-1,1,-1,1,-1,1
0,0,0,0,0,1,0,-2,0,0,0,0,-2,0,0,-2,0,0,-2,1,0,2,-1,0,0,0,0,0,0,0,0,0,1,-1,-2,-2,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,-1,1,-1,1,-1,0,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0,1,0,1,-1,1,-1,1,-1,1,-1
0,0,0,0,0,-2,1,0,-2,0,-2,0,0,-2,0,0,-2,0,0,0,1,-1,0,2,-1,0,0,0,0,0,0,-10,x,x,x,-2,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,-1,1,-1,1,-1,1,-2,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1
0,0,0,-2,0,0,-2,1,-2,-2,0,-2,0,0,-2,0,0,0,0,1,-1,x,-1,-1,0,2,-1,0,0,0,-10,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,-1,1,-1,1,x,x,x,x,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1
0,-2,0,0,-2,1,-2,-2,1,-2,-2,0,-2,0,0,0,0,0,1,-1,x,-1,-1,0,0,-1,0,2,-1,-10,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,-1,1,-1,1,-1,1,0,0,0,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1
0,0,-2,1,-2,-2,1,-2,-2,1,-2,-2,0,0,0,0,0,-6,-1,x,-1,x,0,0,-1,0,0,-1,-10,x,2,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,1,x,1,-1,1,-1,1,-1,1,0,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
-2,1,-2,-2,1,-2,-2,1,-2,-2,1,-6,6,0,0,-6,0,-1,-10,-1,0,0,0,-1,0,0,-1,-10,0,0,0,0,2,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,-2,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
-2,-2,x,-2,x,x,-2,-2,x,x,x,1,0,-3,0,0,2,x,x,0,0,0,-1,0,0,-1,-10,0,0,0,0,0,0,0,2,0,0,0,0,-2,0,0,0,0,0,0,1,-1,1,-1,1,-1,x,x,1,x,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
0,-2,0,0,-2,-2,0,0,0,0,-3,0,1,0,0,0,-10,0,2,0,0,-1,0,0,-1,0,0,0,-10,0,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,0,0,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
