0,1,0,0,1,1,-1,0,1,0,0,0,0,0,1,-1,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,-1,1,1,0,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,0,-1,1,0,1,1,-1,-1,0,0,0,-1,-1,1,-1,0,0,0,0,1,1,0,0,-1,1,0,0,1,0,0,0,0,0,0,1
0,0,1,0,1,x,1,-1,0,1,0,0,0,1,-1,1,-1,0,0,0,1,-1,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,1,-2,-1,0,1,x,x,-1,-1,-1,-1,0,0,-2,0,0,1,1,x,x,-1,0,0,-1,-1,1,-1,1,-1,0,0,0,0,1,1,-1,0,0,1,0,0,1,0,0,0,0,0,0
0,0,0,1,0,1,-1,1,-1,0,1,0,1,-1,1,-1,1,-1,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,-1,0,1,-2,-1,x,0,-1,0,1,-1,-1,-1,-1,0,-2,0,0,0,0,0,1,1,-1,0,0,-1,-1,1,-1,1,-1,1,-1,0,0,0,1,x,1,-1,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,1,-1,1,-1,1,-1,0,1,-1,1,-1,1,-1,1,-2,-1,1,-1,x,-1,0,0,0,0,0,0,-1,1,-2,-1,x,0,-1,-1,0,1,-1,x,-1,-1,-2,-2,0,0,0,0,0,0,1,x,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,1,-1,1,-1,0,0,1,0,0,1,0,0,0,0
0,0,0,1,-1,1,-1,1,-1,1,-2,-1,1,-1,1,x,x,x,x,x,-1,1,-1,0,0,0,0,0,0,7,-2,x,x,-2,-1,-1,-1,0,1,-1,1,-1,x,-2,-2,0,0,0,0,0,0,0,0,1,-1,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,1,-1,1,-1,1,-1,0,0,1,0,0,1,0,0,0
0,0,1,-1,1,-1,1,x,x,x,x,x,-1,1,-1,1,0,0,0,-1,1,-1,1,-1,0,0,0,0,-7,0,0,-2,-1,-1,-1,-1,7,1,-1,1,-1,x,2,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-2,-1,1,-1,1,-1,1,-1,0,0,1,0,0,1,0,0
0,1,-1,1,-1,1,-1,1,0,0,0,-1,1,-1,1,-1,1,0,-1,1,-1,x,-1,1,-1,0,0,-7,0,-2,-1,-1,-1,-1,-1,0,1,-1,1,-1,1,-1,0,7,10,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,x,x,x,x,-1,1,-1,1,-1,1,-1,0,0,1,0,0,1,0
1,-1,1,-1,1,-1,1,-1,1,0,-1,1,-1,1,-1,1,-1,-2,1,-1,x,-1,x,-1,1,-1,-7,-2,2,-1,-1,-1,-1,-1,0,1,-1,1,-1,1,-1,1,-1,10,0,10,0,0,0,0,7,x,1,-1,x,-1,1,-1,1,-1,1,-1,1,-1,1,0,0,0,-1,1,-1,1,-1,1,-1,1,-1,0,0,1,0,0,1
-1,1,-1,1,-1,1,-1,1,-1,-2,1,-1,1,-1,x,x,1,x,x,x,2,2,-1,1,-1,x,x,2,-1,-1,x,-1,-1,0,1,-1,1,-1,1,-1,1,-1,x,-1,10,0,0,0,0,7,0,1,-1,x,-1,x,-1,x,-1,1,-1,1,-1,1,-1,1,0,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,1,0,0
1,-1,1,-1,1,-1,x,x,1,x,x,1,-1,1,-1,0,0,1,0,2,2,-1,x,x,x,-1,2,-1,-1,2,-1,-1,0,1,-1,1,-1,1,-1,1,-1,1,-1,10,0,0,0,0,7,0,1,-1,1,-1,10,-1,7,-1,1,-1,1,-1,1,-1,1,-1,-2,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,1,0
-1,1,-1,1,-1,1,-1,0,0,1,1,-1,1,-1,1,-1,0,0,2,0,-1,2,2,-1,-1,2,-1,-1,2,-1,-1,2,-2,-1,1,-1,1,-1,1,-1,1,-1,x,-1,0,0,0,7,0,1,-1,1,-1,x,-1,x,-1,1,-1,1,-1,1,-1,x,x,x,x,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,1
1,-1,1,-1,1,-1,1,-1,0,1,x,1,-1,1,-1,1,-1,2,0,-1,2,2,-1,x,2,-1,-1,2,-1,-1,x,x,-1,x,x,x,-1,1,-1,1,-1,1,-1,0,0,0,7,0,1,-1,1,-1,1,-1,7,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0
-1,1,-1,1,-1,1,-1,1,-1,0,1,-1,1,-1,1,-1,x,-1,-1,2,0,-1,2,2,-1,-1,2,-1,-1,2,-1,-1,0,0,0,-1,1,-1,1,-1,1,-1,1,-1,0,7,0,1,-1,1,-1,1,-1,x,-1,1,-1,1,-1,1,-1,x,-1,1,-1,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0
1,-1,1,-1,1,-1,1,-1,1,-2,-1,1,-1,1,-1,1,-1,-1,2,0,-1,2,2,-1,x,2,-1,-1,2,-1,-1,2,-1,0,-1,1,-1,1,-1,1,-1,1,-1,1,-2,0,1,-1,1,-1,1,-1,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-2,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
-1,1,-1,1,-1,1,x,x,x,x,x,-1,1,-1,1,-1,x,x,0,-1,2,0,-1,2,2,-1,-1,2,-1,-1,2,-1,0,2,x,-1,1,-1,1,-1,1,x,x,x,1,-2,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,x,x,x,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
