0,0,0,1,-1,-1,0,0,-1,0,0,-1,-1,0,-1,0,1,0,0,-1,-1,1,-1,0,-1,-1,-1,0,-1,0,-1,0,-1,0,-1,0,0,-1,0,1,1,-1,-1,0,0,1,0,0,-1,0,-1,1,-1,-1,0,-1,-1,0,-1,-1,0,0,0,1,0,1,-1,0,0,0,0,0,-1,0,-1,-1,1,1,0,-1,0,-1,0
0,0,1,-1,x,-1,0,-1,0,0,-1,-1,0,-1,0,0,0,1,-1,-1,1,-1,1,-1,-1,-1,0,-1,0,-1,0,-1,0,-1,0,0,-1,0,0,1,x,x,-1,0,0,0,1,-1,0,-1,1,-1,x,-1,-1,-1,0,-1,-1,0,0,0,0,0,1,-1,1,-1,0,0,0,-1,0,-1,-1,0,0,1,-2,0,-1,0,0
0,1,-1,1,-1,0,-1,0,0,-1,-1,0,-1,0,0,0,1,-1,x,x,-1,1,-1,x,-1,0,-1,0,-1,0,-1,0,-1,0,0,-1,0,0,0,0,1,-1,0,0,0,1,-1,1,-1,1,-1,1,-1,-1,-1,0,-1,-1,0,0,0,0,0,1,-1,1,-1,1,-1,0,-1,0,-1,-1,0,1,-2,0,1,-1,0,0,0
1,-1,1,-1,1,-1,0,0,-1,-1,0,-1,0,0,0,1,-1,1,-1,-1,1,-1,1,-1,0,-1,0,-1,0,-1,0,-1,0,0,-1,0,0,0,0,1,-1,1,-1,0,1,-1,1,-1,1,-1,1,-1,x,-1,0,-1,-1,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,0,-1,-1,1,-2,0,1,1,-1,1,-1,0,0
-1,1,-1,1,-1,1,-1,-1,-1,0,-1,0,0,0,1,-1,1,-1,x,x,-1,1,-1,1,-1,0,-1,0,-1,0,-1,0,0,-1,0,0,0,0,1,-1,1,-1,1,-2,-1,1,-1,1,-1,1,-1,1,-1,0,-1,-1,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,x,x,-2,1,-2,1,x,1,-1,1,-1,0
1,-1,1,-1,1,-1,x,-1,0,-1,0,0,0,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,0,-1,0,-1,0,0,-1,0,0,0,0,1,-1,1,x,x,x,x,x,-1,1,-1,1,-1,1,-1,1,-1,-1,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,3,1,-2,0,1,0,1,-1,1,-1,1,-1
-1,1,-1,1,-1,1,-1,0,-1,0,0,0,1,-1,1,-1,1,-1,x,x,-1,1,-1,1,-1,1,-1,0,-1,0,0,-1,0,0,0,0,1,-1,1,-1,1,0,0,0,-1,1,-1,1,-1,1,-1,1,-1,x,-1,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,x,1,x,x,0,1,3,0,2,-1,1,-1,1,-1,1
1,-1,1,-1,1,-1,1,-1,0,0,0,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,0,0,-1,0,0,0,0,1,-1,1,-1,1,-1,1,0,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,0,1,0,0,3,1,2,x,x,x,x,-1,1,-1
-1,1,-1,1,-1,1,-1,1,-1,0,1,-1,1,-1,1,-1,1,-1,x,x,-1,1,-1,1,-1,1,-1,1,-1,-1,0,0,0,0,1,-1,1,-1,1,-1,1,-1,-2,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,0,1,0,0,0,1,-5,2,0,-1,1,-1,1
1,-1,1,-1,1,-1,1,-1,1,-2,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,x,-1,0,0,0,1,-1,1,-1,1,-1,x,x,1,x,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-5,4,0,0,0,x,-5,-2,x,-1,1,-1
-1,1,-1,1,-1,1,x,x,x,x,x,-1,1,-1,1,-1,1,-1,x,x,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,1,-1,1,-1,1,-1,1,-1,0,0,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,1,-1,1,-1,1,-5,0,0,-5,-5,0,-5,-1,1,x,1
1,-1,1,-1,1,-1,1,0,0,0,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,1,-1,1,-1,1,-1,1,-1,1,-1,0,1,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,1,-1,x,x,1,-5,3,0,0,-5,-1,0,0,1,0
