0,0,-1,-1,1,0,0,-1,1,1,0,0,-1,1,-1,1,-1,1,-1,0,1,-1,1,0,-1,0,1,0,0,0,-1,1,0,-1,0,0,0,0,-1,-1,1,0,-1,1,0,1,0,0,0,0,1,0,0,0,-1,-1,0,0,1,0,0,-1,1,0,0,0,0,0,1,0,0,0,-1,0,0,-1,1,1,0,0,0,-1,-1
0,-1,-1,0,0,1,-1,0,0,1,1,-1,1,-1,1,-1,1,-1,1,-2,-1,1,-1,-2,0,0,0,1,0,-1,0,0,-2,0,0,0,0,-1,-1,0,0,-2,0,0,1,0,1,0,0,0,0,1,0,-1,-1,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,1,0,-1,0,0,-1,0,0,1,1,0,-1,-1,0
-1,-1,0,0,1,-1,1,-1,0,1,x,1,-1,1,-1,1,x,x,x,x,x,x,1,-1,-2,0,0,0,-2,0,-2,0,0,0,0,0,-1,-1,0,-2,0,0,0,0,0,1,0,1,0,0,0,0,-2,-1,0,0,0,0,1,-1,1,-1,0,0,1,0,0,0,0,0,-2,0,0,-1,0,0,0,0,1,-2,-1,0,0
-1,0,0,1,-1,1,-1,1,-1,0,1,-1,1,-1,1,-1,1,0,0,0,0,7,x,1,-1,-2,-2,0,-2,0,0,0,0,0,0,-1,-1,-2,-2,0,0,0,0,0,0,0,1,0,1,0,-2,-1,-1,0,0,0,0,1,-1,1,-1,1,-1,0,0,1,0,0,-2,0,0,0,-1,0,0,0,1,-2,-1,x,0,-1,0
0,0,1,-1,1,-1,1,-1,1,-2,-1,1,-1,1,-1,1,-1,1,0,7,0,0,2,x,x,x,-2,0,7,0,0,0,0,0,-1,x,-2,-2,0,0,0,0,0,0,0,0,0,1,-2,-2,-1,x,0,0,0,0,1,-1,1,-1,1,-1,1,-1,0,0,-3,0,0,0,0,-1,0,0,1,-2,-1,x,0,-1,-1,0,0
0,1,-1,1,-1,1,x,x,x,x,x,-1,1,-1,1,-1,1,x,1,0,7,0,0,0,-4,0,7,0,0,0,0,0,0,-1,-2,2,0,0,0,0,0,0,0,0,0,1,-2,-2,x,-1,-2,0,0,0,0,1,-1,1,-1,1,-1,1,-1,x,-1,-3,0,0,0,0,-1,0,1,-2,-1,x,0,-1,-1,-1,0,0,0
1,-1,1,-1,1,-1,1,0,0,0,-1,1,-1,1,-1,1,-1,1,0,1,-4,0,0,0,0,7,0,7,0,0,0,-4,-7,7,0,0,0,2,0,0,0,0,0,1,-2,-2,1,0,2,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,x,-1,-3,0,0,0,0,-1,1,-2,-1,x,0,-1,-1,-1,-1,0,0,0,0
-1,1,-1,1,-1,1,-1,1,0,-1,1,-1,1,-1,1,x,x,-1,2,-4,1,-4,0,0,0,-7,0,-4,0,0,0,0,7,0,7,0,0,0,-4,6,7,1,-2,-2,1,0,-2,1,0,0,2,0,0,1,-1,1,-1,1,-1,1,-1,x,-1,-3,0,0,0,0,5,-2,x,x,-2,-1,-1,-1,-1,-1,0,0,0,0,0
1,-1,1,-1,1,-1,1,-1,-2,1,-1,1,-1,1,x,-3,-3,-4,-7,2,x,x,-4,-4,0,0,0,-7,7,0,0,0,0,0,-4,7,0,0,7,x,-2,x,1,0,-2,-2,0,x,1,-2,0,0,3,-1,1,-1,1,-1,1,-1,x,-1,-3,0,0,0,0,-5,0,0,-2,-1,-1,x,-1,-1,-1,0,0,0,0,0,0
-1,1,-1,1,-1,x,x,1,x,x,x,x,x,x,-2,x,-4,-3,-4,x,-7,2,0,0,-4,-4,0,0,0,0,-4,0,0,0,0,7,7,0,-2,0,0,0,x,-2,0,x,1,-2,0,1,0,3,-1,1,-1,x,-1,1,-1,x,-1,-3,-5,0,-5,0,0,0,-2,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0
1,-1,1,-1,1,-1,0,0,1,0,0,0,-7,-7,x,-3,-4,-4,0,0,-4,-4,0,2,0,0,-4,-4,0,0,0,0,0,0,7,0,-2,0,0,0,0,-2,7,7,1,-2,0,1,0,0,2,-1,1,-1,x,-1,1,x,x,2,-3,0,0,-5,0,0,-2,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0
-1,1,-1,1,-1,x,-3,0,-3,-4,-4,-4,x,-4,0,0,x,-4,0,0,0,0,-4,-4,0,2,0,0,0,-4,0,0,7,0,-2,0,0,0,0,-2,0,7,1,x,0,x,-2,0,1,3,x,x,x,x,-1,0,0,3,-5,0,0,2,0,0,-2,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0
1,-1,1,x,1,2,-4,2,0,-4,0,0,0,-4,0,0,0,0,-4,-4,0,0,0,0,0,-4,0,2,0,0,7,-4,-2,0,0,0,0,-2,0,7,0,-2,7,1,-2,0,0,0,7,1,0,1,3,-5,0,0,0,0,0,0,3,0,-2,-3,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
x,1,x,2,0,x,1,x,-4,x,0,-4,0,0,-4,-4,0,0,0,0,0,-4,0,0,0,0,0,-4,7,2,-2,0,0,-4,0,-2,0,7,0,-2,0,1,-2,7,1,-2,7,0,x,7,1,-2,1,0,1,-7,-5,3,0,0,x,-2,-3,x,-1,x,x,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,-4,2,0,-2,0,0,-4,-4,0,0,0,0,0,-4,0,0,0,0,0,-4,0,0,7,0,-2,-4,0,3,0,-2,0,x,0,-2,7,1,-2,0,1,-2,7,1,-2,1,3,-2,7,x,-2,2,-5,1,7,-5,-2,-4,3,0,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
-4,0,0,-2,0,-2,-4,x,0,3,0,0,0,-4,0,0,0,0,0,-4,0,0,0,0,7,-4,-2,0,0,0,0,-2,0,7,3,-2,-2,1,-2,7,1,-2,1,1,-2,7,1,-2,x,x,x,-2,-5,-2,x,x,x,7,-5,x,x,0,-3,x,0,3,0,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-2,-4,-2,0,0,0,0,0,-4,0,0,3,0,0,-4,-4,0,0,0,0,-4,7,0,-2,0,0,0,0,-2,0,7,3,-2,x,x,x,x,1,-2,7,1,-2,x,1,-2,7,x,-2,-2,-5,-2,7,-5,-2,0,-5,0,0,-3,0,0,0,0,-3,0,2,-1,x,2,-1,0,0,0,0,0,0,0,0,0,0,0,0
