0,0,0,-1,0,0,0,0,1,0,-1,0,1,-1,-1,-1,-1,1,1,0,1,-1,-1,-1,0,0,0,1,0,1,0,0,0,0,1,1,-1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,-1,-1,0,-1,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,1,-1,-1,1,-1,0,1,-1,1,1,-1,-1
0,0,-1,0,0,0,0,0,0,-2,0,1,-1,x,-1,-1,0,0,1,1,-1,x,-1,0,0,0,0,0,1,0,1,0,0,0,1,x,1,-1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,-1,-1,0,-1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,-1,x,x,-1,1,-2,-1,1,x,x,x,-1
0,-1,0,0,0,0,0,-2,0,0,1,-1,1,-1,-1,0,0,0,1,x,1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,-1,1,-1,1,0,0,0,1,1,0,0,1,1,0,0,-2,-1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,1,-1,1,-1,3,-2,x,x,-2,-1,1,0,-1,0
-1,0,0,0,0,-2,0,0,0,1,-1,1,-1,x,-1,0,0,0,0,1,-1,1,-1,0,0,0,0,0,0,0,1,0,1,0,1,-1,1,-1,1,-1,1,0,0,0,1,1,0,0,1,-3,-1,-1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,1,-1,1,-1,x,x,0,3,3,x,0,0,-2,0,0
0,0,0,-2,0,0,0,0,1,-1,1,-1,1,-1,0,0,0,0,1,-1,1,-1,1,-1,0,0,0,0,0,0,0,1,0,1,-1,1,-1,1,-1,1,-1,1,0,0,0,1,3,-1,0,x,-1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,x,1,-1,1,-1,0,0,0,0,0,-4,3,0,0,0
0,-2,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,0,0,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,0,0,0,x,0,1,3,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,-4,0,0,0,0,0,0,0,3
0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,0,0,0,1,0,x,-1,1,3,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,x,x,1,-1,1,-1,-4,0,0,0,0,0,0,0
0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,0,0,0,1,-1,0,3,x,3,2,3,-1,0,0,0,0,0,0,0,0,0,1,-1,1,-1,-3,x,1,-1,1,-1,-4,0,0,0,0,0,0
0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,0,1,-1,1,-1,0,3,x,3,-1,x,2,3,-1,0,0,0,0,0,1,-1,x,-1,x,-1,-2,x,1,-1,1,-1,-4,0,0,0,0,0
0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-2,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-2,0,0,-1,3,-2,3,-1,2,0,3,-1,0,1,-1,1,-1,0,2,0,0,-2,x,1,-1,1,-1,-4,0,0,0,0
0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,x,x,x,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,x,x,1,-2,-1,x,-2,0,-1,x,-2,3,x,x,1,x,x,-1,1,-1,0,-2,2,0,-2,x,1,-1,1,-1,-4,0,0,0
0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,0,0,0,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-2,-1,x,-2,2,0,-1,-2,-2,0,0,3,0,3,1,-1,1,-1,x,2,0,-2,0,2,-2,x,1,-1,1,-1,-4,0,0
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,0,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,x,x,-2,2,2,0,-2,x,-2,0,0,0,0,3,1,x,1,x,x,-2,-2,0,2,-2,-2,0,-2,x,1,-1,1,-1,-4,0
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-2,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-2,0,2,0,-2,2,x,0,-2,0,0,0,0,0,3,1,3,-3,-2,0,2,-2,-2,0,x,0,-2,-2,x,1,-1,1,-1,-4
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,x,x,1,x,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,x,x,x,-2,-2,0,2,0,-2,2,0,0,0,3,0,1,-3,0,x,3,x,-2,x,-2,2,0,-2,-2,0,0,-2,x,1,-1,1,-1
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,0,-2,-2,0,2,0,-2,0,2,0,4,2,1,-3,0,0,x,0,0,x,0,-2,2,-2,-2,-2,2,0,-2,0,0,1,-1,1,-1,1
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,1,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,-2,0,x,0,-2,0,2,0,x,2,x,0,2,x,4,0,0,-3,0,-2,2,-2,-2,-2,2,0,-2,0,2,0,-3,-1,1,-1,1,-1
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,1,0,-2,-2,0,0,0,0,0,2,0,0,2,0,0,x,-3,-3,-2,2,-2,-2,x,2,0,-2,2,2,-3,x,0,x,1,-1,x,-1,1
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-2,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-2,-2,0,-2,0,0,0,0,0,0,0,2,0,-3,-4,-2,x,2,-2,-2,0,2,0,x,0,x,-3,-2,2,2,-3,1,-1,1,-1,0,0
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,x,x,x,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,x,x,1,-2,-2,0,0,0,0,0,2,0,-8,0,-2,x,0,2,-2,-2,0,2,0,-2,0,-5,0,-5,2,-3,x,-3,x,x,x,x,1,-1,0
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,0,0,0,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-2,x,1,-8,-2,-2,0,0,0,-8,2,x,0,-8,2,-2,-2,-2,2,-5,-2,-5,2,0,-2,-3,0,-3,0,2,0,0,-3,0,1,-1,1,-1
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,0,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,x,-1,x,x,1,1,-2,x,x,x,x,0,-2,0,0,0,-8,2,-2,x,-2,x,0,-2,-5,2,-5,x,0,x,-3,-2,-3,0,-3,0,2,0,-2,x,1,-1,1
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-2,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,1,-2,1,1,-2,-8,0,-2,0,0,0,0,0,-2,0,-2,2,0,3,0,0,0,0,0,4,0,4,0,-3,-3,2,2,0,-2,0,2,-2,x,1,-1
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,x,x,1,x,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,x,-3,-2,0,1,-2,x,x,-2,-8,0,0,0,0,-2,0,-2,0,0,0,0,2,2,0,6,0,4,0,-3,-3,-3,x,2,4,-2,2,x,-2,-2,0,-2,-1,1
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,-3,-2,-8,x,-2,0,1,3,0,0,0,0,0,-2,0,-2,0,0,0,0,2,0,6,0,2,2,-3,x,-3,x,2,x,4,-2,x,2,-2,-2,x,-2,2,-1,0,0
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,1,x,1,-1,1,-1,1,x,1,x,x,-1,-2,0,0,-2,-8,0,-2,0,1,0,1,3,-2,0,-2,0,0,0,2,0,6,0,2,2,-3,0,-3,2,2,6,0,x,-2,2,2,-2,-2,4,x,0,-2,-1,0,2,-1
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,1,-1,1,-1,1,-1,1,-8,1,-3,0,0,-2,0,0,-2,-8,0,0,0,2,-2,1,-2,2,3,2,0,6,0,2,2,-3,0,-3,2,2,6,6,-3,2,-3,-3,2,x,-2,x,x,-2,-2,-3,-1,4,0,-1,0
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-2,x,1,-1,1,-1,1,x,1,-8,1,3,0,0,-2,0,0,0,-8,2,-2,1,x,2,x,x,6,2,2,x,-3,6,x,2,2,6,0,-3,2,x,x,2,x,2,x,6,2,3,3,-1,-1,-1,0,0,-1,0,0
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,x,x,1,-2,-1,x,-1,1,x,1,0,x,x,1,-3,1,3,0,-8,2,-2,-8,x,2,1,0,0,2,0,-3,6,2,2,0,2,6,-3,2,2,6,0,3,2,6,2,2,6,2,3,3,x,x,x,x,3,-1,0,0,0
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-2,-1,x,0,-1,0,1,2,0,4,4,-2,-8,1,0,1,0,x,3,0,2,-8,0,2,3,-3,6,2,2,0,2,6,2,2,0,x,6,6,2,2,6,6,x,x,6,x,x,0,x,2,3,5,0,-1,0,0,3,-1
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,x,x,-2,-1,3,-8,2,0,1,1,x,x,x,-2,x,2,-2,3,0,0,0,2,3,-2,0,0,2,3,3,6,2,x,0,x,0,2,2,0,6,0,0,2,2,6,6,2,2,6,6,0,3,6,2,-2,3,-3,0,x,0
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,x,-1,1,-2,-1,-1,0,-8,0,-8,2,x,1,1,-2,0,0,-2,0,0,2,2,2,3,-2,0,2,0,-3,0,0,2,x,3,5,2,3,0,6,0,2,2,0,0,0,2,2,x,6,0,x,x,2,6,x,x,x,x,2,3,x,0
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,x,2,x,x,x,x,-1,-8,0,-8,0,0,2,x,1,1,-2,0,0,0,2,2,0,x,2,2,-2,x,0,2,2,0,0,0,2,2,0,x,2,0,2,0,0,2,2,6,0,0,2,2,0,0,0,2,0,5,0,6,0,0,6,2,0
