0,1,1,0,0,0,0,-1,0,0,0,0,-1,1,1,0,0,0,0,-1,1,0,0,0,0,-1,1,-1,0,0,0,0,-1,0,0,-1,1,-1,0,0,0,0,1,-1,-1,0,0,0,-1,1,0,1,0,0,1,0,0,0,-1,1,0,0,-1,-1,0,-1,0,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,-1,0,1
0,0,1,1,0,0,-1,0,0,0,0,-1,0,0,1,1,0,0,-1,0,0,1,0,0,-1,1,-1,1,-1,0,0,-1,0,0,-1,1,-1,1,-1,0,0,1,-1,x,-1,0,0,-1,0,0,1,0,1,0,0,1,0,-1,0,0,1,-1,-1,0,-1,0,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,-1,0,0,0
0,0,0,1,1,-1,0,0,0,0,-1,0,0,0,0,1,1,-1,0,0,0,0,1,-1,1,-1,1,-1,1,-1,-1,0,0,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,-1,0,0,0,0,1,0,1,0,0,-2,0,0,1,-1,x,-1,-1,0,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,0
0,0,0,1,x,1,-1,0,0,-1,0,0,0,0,0,1,x,1,-1,0,0,1,-1,1,-1,1,-1,1,-1,x,-1,0,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,0,0,0,0,0,0,1,0,-3,0,0,0,1,-1,1,-1,-1,0,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,0,0
0,0,0,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,x,-1,0,0,0,0,0,-3,0,1,0,0,0,1,-1,1,-1,x,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,0
0,0,0,1,-1,1,-1,x,-1,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,-3,0,0,0,0,0,1,0,1,-1,1,-1,1,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0
0,0,1,-1,1,-1,1,-1,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,4,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,0
0,1,-1,1,-1,1,-1,1,-1,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,0,0,1,4,0,0,0,0,1,-1,1,-1,1,-1,1,-1,x,-1,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0
1,-1,1,-1,1,-1,1,-1,1,-1,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,0,0,1,0,0,1,5,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,0,0,1,0,5,x,x,-1,1,x,x,-1,1,-1,1,-1,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
