0,0,0,0,0,-1,0,1,0,0,1,1,-1,0,0,0,0,-1,1,0,1,-1,0,-1,0,0,-1,0,0,1,-1,-1,0,-1,0,0,0,1,-1,1,0,0,0,0,-1,1,0,0,-1,1,-1,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,-1,-1,0,1,1,0,0,1,0,-1,0,0,0,-1,-1,-1,0,-1
0,0,0,0,-1,0,0,0,1,0,1,x,1,-1,0,0,-1,0,0,1,-1,1,-1,0,0,-1,0,0,1,-1,x,-1,-1,0,0,0,1,-1,1,-1,1,0,0,-1,0,0,1,-1,1,-1,1,-1,0,0,0,0,0,-1,0,0,0,0,1,0,-1,-1,0,0,0,1,1,0,0,-2,0,0,0,-1,-1,-1,0,-1,0
0,0,0,-1,0,0,0,0,0,1,0,1,-1,1,-1,-1,0,0,1,-1,1,-1,1,-1,-1,0,0,1,-1,1,-1,-1,0,0,0,1,-1,1,-1,1,-1,1,-1,0,0,1,-1,1,-1,1,-1,1,-1,0,0,0,-1,0,0,0,0,0,0,-2,-1,0,0,0,0,0,1,-3,0,0,0,0,-1,-1,-1,0,-1,0,0
0,0,-1,0,0,0,0,0,0,0,1,-1,1,-1,x,-1,0,1,-1,1,-1,1,-1,x,-1,0,1,-1,1,-1,x,-1,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,-1,0,0,0,0,0,-2,-1,-1,0,0,0,1,-3,0,0,1,0,0,0,-1,-1,-1,0,-1,0,0,0
0,-1,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,0,1,-1,1,-1,1,-1,1,-1,0,1,-1,1,-1,1,-1,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,-2,-1,-1,-1,0,1,-3,0,0,1,0,0,0,1,0,-1,-1,-1,0,-1,0,0,0,0
-1,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-2,-1,1,-1,1,-1,1,-1,1,-2,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,-2,-1,-1,-1,x,-3,1,-3,1,-3,0,0,1,0,0,0,-2,-1,-1,0,-1,0,0,0,0,0
0,0,0,0,0,0,0,1,-1,1,-1,1,x,x,x,x,x,-1,1,-1,1,x,x,x,x,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,x,2,-1,-1,x,1,-3,1,-3,1,0,1,-3,0,0,1,-2,-1,-1,-1,0,-1,0,0,0,0,0,0
0,0,0,0,0,0,1,-1,1,-1,1,-1,1,0,0,0,-1,1,-1,1,-1,1,0,0,0,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-2,-1,x,x,-2,-3,1,-3,1,-3,1,0,1,-3,-2,-1,x,-1,-1,0,-1,0,0,0,0,0,0,0
0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,0,-1,1,-1,1,-1,1,-1,1,0,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,x,x,x,-2,3,1,-3,x,-3,1,0,1,-3,2,x,x,x,-2,-1,-1,0,-1,0,0,0,0,0,0,0,0
0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,-2,1,-1,1,-1,1,-1,1,-1,-2,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,0,-2,1,-3,-3,-3,1,2,1,-3,1,0,1,-3,-3,-4,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0
